bench, mem, temp, enabled_col_num, row_size, row_count, col_width, cycles, l1_references,     l1_refills, l2_references, l2_refills, inst_retired, time, stall_ctrl_trapper, stall_fetch_ctrl, stall_fetch_full,     stall_fetch_memory, stall_req_fetch
q1, r, c, 3, 64, 442368, 1, 24022933, 0, 0, 155044, 82193, 16972316, 23956000, 0, 1309077, 878435, 925, 0
q1, d, -, 3, 64, 442368, 1, 34745289, 0, 0, 621594, 534961, 15618183,34748000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 1, 21840779, 0, 0, 169877, 83579, 15627281,21842000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 2, 24769798, 0, 0, 189332, 113999, 16886173, 24703000, 0, 1290576, 354942, 673, 0
q1, d, -, 3, 64, 442368, 2, 34870770, 0, 0, 624651, 535282, 15531655,34872000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 2, 22612050, 0, 0, 209066, 116082, 15577131,22613000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 4, 26820933, 0, 0, 238607, 163665, 16880268, 26756000, 0, 1253694, 18001, 345, 0
q1, d, -, 3, 64, 442368, 4, 34638997, 0, 0, 621124, 536077, 15531689,34641000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 4, 24183561, 0, 0, 272657, 175705, 15592351,24185000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 8, 27944389, 0, 0, 332060, 251142, 16892966, 27879000, 0, 1183449, 935, 359, 0
q1, d, -, 3, 64, 442368, 8, 34693824, 0, 0, 623329, 536836, 15531630,34696000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 8, 27146376, 0, 0, 397522, 272781, 15590371,27148000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 16, 32458355, 0, 0, 506081, 425897, 16891510, 32393000, 25, 90266, 0, 340, 0
q1, d, -, 3, 64, 442368, 16, 34809442, 0, 0, 620529, 535656, 15533202,34811000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 16, 32990286, 0, 0, 627888, 456622, 15583179,32992000, 0, 0, 0, 0, 0
